Match Number,HTGD,FGS,RED-H,RED-A,POINTS_H,POINTS_A,TOTAL_H_P,TOTAL_A_P,Match_O
156,0,2,0,0,21,14,50,55,2
157,-2,0,1,0,16,16,63,58,0
158,0,2,0,0,25,20,82,48,2
159,-1,0,0,0,16,21,45,51,1
160,2,1,0,0,25,24,38,50,2
161,1,1,0,0,22,12,65,47,2
162,0,2,0,0,10,25,0,0,1
163,1,1,0,0,24,14,56,55,2
164,-1,1,0,0,13,25,58,0,2
165,2,1,0,0,41,20,83,43,2
166,-1,0,0,0,26,24,0,50,0
167,-1,0,0,0,22,42,51,91,0
168,2,1,0,0,20,17,48,45,2
169,1,1,0,0,24,39,50,91,0
170,-2,0,0,0,20,25,43,65,0
171,0,2,0,0,14,44,55,83,2
172,-1,0,0,0,12,28,47,82,0
173,-1,0,0,0,29,28,67,38,1
174,0,2,0,0,19,11,58,0,2
175,1,1,0,0,26,16,0,63,0
176,-1,0,0,0,22,17,51,0,0
177,0,0,0,0,25,27,42,56,0
178,0,2,0,0,36,19,91,58,2
179,0,0,0,0,22,26,51,67,0
180,-1,0,0,0,16,24,0,42,1
181,0,0,0,0,35,25,91,67,1
182,0,0,0,0,25,44,42,83,0
183,0,2,0,0,31,11,82,0,2
184,-2,0,0,0,20,30,43,56,0
185,1,1,0,0,17,12,45,47,2
186,2,1,0,0,22,28,58,65,2
187,-1,0,0,0,29,20,38,0,2
188,0,0,0,0,20,20,0,43,0
189,0,0,0,0,11,33,0,67,0
190,0,2,0,0,23,17,48,55,1
191,2,0,0,0,30,19,67,63,2
192,0,0,0,0,18,23,55,43,0
193,1,1,0,0,20,36,0,67,2
194,1,0,0,0,12,24,47,48,1
195,1,1,0,0,45,26,91,0,1
196,0,2,0,0,28,25,65,42,2
197,-2,0,0,0,18,32,55,38,0
198,0,2,0,0,19,34,63,82,2
199,0,0,0,0,33,25,56,58,2
200,0,2,0,0,27,20,50,45,1
201,0,2,0,0,47,22,83,51,2
202,-1,0,0,0,31,30,50,0,1
203,0,1,0,0,32,26,65,58,0
204,-2,0,0,0,12,40,0,82,0
205,0,2,0,0,39,29,56,43,1
206,0,1,0,0,16,24,47,45,0
207,1,1,0,0,48,22,91,51,2
208,3,1,0,0,54,26,83,42,2
209,1,1,0,0,23,36,0,38,1
210,0,0,0,0,18,27,55,48,1
211,-1,0,0,1,28,39,63,67,0
212,2,1,0,1,36,16,67,47,2
213,0,2,0,0,25,47,42,91,1
214,0,2,0,0,37,39,82,56,2
215,0,2,0,0,26,11,48,0,1
216,0,2,0,0,26,31,43,50,2
217,0,1,0,0,21,23,45,0,2
218,1,1,0,0,35,31,38,65,1
219,4,1,0,0,27,18,0,55,2
220,-1,0,0,0,22,25,51,63,0
221,0,1,0,0,25,53,58,83,1
222,-1,0,0,0,13,25,47,42,2
223,1,1,0,0,22,21,63,45,2
224,1,0,0,0,36,35,56,38,2
225,0,0,0,0,46,25,91,48,1
226,0,1,0,0,28,25,50,58,2
227,0,1,0,0,50,27,83,0,2
228,-1,0,0,0,31,34,65,82,0
229,1,1,0,0,31,24,0,0,2
230,-1,0,0,0,30,28,43,63,0
231,0,0,0,0,22,32,51,50,0
232,0,0,0,0,42,57,67,83,2
233,2,1,0,0,43,51,82,91,2
234,0,2,0,0,26,12,42,0,2
235,0,2,0,0,28,32,48,65,1
236,3,1,0,0,27,40,45,56,2
237,-1,0,0,0,29,19,58,55,1
238,0,0,0,0,37,16,38,47,0
239,0,0,0,0,30,37,43,0,0
240,0,0,0,0,15,41,0,56,0
241,0,2,0,0,22,38,51,38,2
242,0,2,0,0,31,45,45,67,1
243,1,1,0,0,51,31,91,63,2
244,0,1,0,0,40,19,56,47,1
245,1,1,0,0,57,15,83,0,2
246,1,1,0,0,30,29,58,42,2
247,0,2,0,0,37,30,38,45,1
248,2,1,0,0,24,29,0,48,2
249,0,0,0,0,20,46,55,82,0
250,0,0,0,0,34,22,0,51,2
251,0,1,0,0,12,31,0,63,2
252,-1,0,0,0,20,15,55,0,1
253,1,1,0,0,38,30,38,43,2
254,-1,0,0,0,33,60,65,83,0
255,0,2,0,0,49,35,82,50,1
256,1,1,0,0,29,20,42,55,2
257,0,1,0,0,31,27,63,0,2
258,-1,0,0,0,20,54,47,91,0
259,0,2,0,0,29,33,48,58,2
260,0,1,0,1,18,25,0,51,1
261,0,0,0,0,39,33,50,65,0
262,1,1,0,0,44,32,56,48,2
263,-1,0,0,0,46,25,67,51,2
264,1,1,0,0,40,32,0,42,2
265,1,1,0,0,57,32,91,45,2
266,1,1,0,0,36,34,50,63,2
267,1,1,0,0,63,20,83,47,2
268,0,0,0,0,33,50,58,82,2
269,0,0,0,0,27,33,0,65,2
270,0,2,0,0,30,42,0,50,1
271,2,1,0,0,19,23,0,47,1
272,-1,0,0,0,41,60,38,91,0
273,0,0,0,0,26,36,51,58,1
274,2,1,0,0,34,41,63,38,2
275,2,1,1,0,36,47,65,56,2
276,0,1,0,0,32,66,48,83,0
277,3,1,0,0,20,20,47,55,2
278,2,1,0,0,50,30,82,0,2
279,1,1,0,0,32,43,45,0,2
280,-2,0,0,0,19,39,0,50,0
281,-1,0,0,0,33,52,42,67,0
282,-1,0,0,0,30,63,43,91,0
283,0,0,0,0,47,37,56,63,0
284,2,1,0,0,20,39,55,65,0
285,0,0,0,0,53,69,82,83,0
286,0,2,0,0,49,43,67,0,2
287,0,0,0,0,32,32,48,42,1
288,-1,0,0,0,30,29,43,51,0
289,0,2,0,0,36,35,58,45,1
290,0,2,0,0,43,55,50,67,2
291,3,1,0,0,72,47,83,56,2
292,2,1,0,0,66,31,91,0,2
293,0,0,0,0,36,30,45,43,0
294,0,2,0,0,43,41,0,38,1
295,1,1,0,0,42,20,65,0,2
296,0,2,0,0,32,33,51,48,1
297,0,2,0,0,40,20,63,55,0
298,0,2,0,0,24,37,47,58,2
299,0,2,0,0,33,53,42,82,1
300,2,1,0,0,23,36,55,45,2
301,0,0,0,0,20,69,0,91,0
302,1,1,0,0,45,44,65,0,2
303,2,1,0,0,54,55,82,67,2
304,0,2,0,0,47,31,56,0,2
305,0,2,0,0,27,33,47,51,2
306,-1,0,0,0,34,42,48,38,1
307,-1,0,0,0,75,40,83,63,2
308,0,0,0,0,37,33,58,43,0
309,0,2,0,0,36,30,43,47,1
310,2,0,0,0,47,35,50,48,2
311,-1,0,0,0,34,46,42,50,1
312,0,2,0,0,72,48,91,65,2
313,-1,0,0,0,55,26,67,55,0
314,0,1,0,0,40,35,63,42,0
315,1,1,0,0,36,20,45,0,2
316,-1,0,0,0,44,57,0,82,0
317,-1,0,0,0,31,37,0,58,0
318,0,1,0,0,33,50,51,56,0
319,1,1,0,0,43,78,38,83,2
320,0,2,0,0,31,44,47,0,1
321,0,1,0,0,53,50,56,50,1
322,-2,0,0,0,35,37,48,43,0
323,0,2,0,0,40,55,58,67,1
324,0,0,0,0,56,54,67,56,2
325,0,2,0,0,40,60,43,82,1
326,0,1,0,0,39,39,45,42,0
327,1,1,0,0,46,41,38,58,2
328,1,1,0,0,45,35,0,48,2
329,1,1,0,0,31,29,0,55,2
330,1,0,0,0,20,46,0,38,2
331,-1,0,0,1,38,33,42,51,1
332,0,2,0,0,61,39,82,45,2
333,-1,0,0,0,29,75,55,91,0
334,0,1,0,0,59,41,67,43,2
335,1,1,0,0,78,34,83,0,2
336,0,1,0,0,34,48,51,65,1
337,0,2,0,0,51,32,50,47,2
338,1,1,0,0,35,43,48,63,1
339,1,1,0,0,64,35,82,51,2
340,0,0,0,0,23,41,0,43,1
341,1,1,0,0,29,54,55,50,2
342,0,1,0,0,81,39,83,45,1
343,2,1,0,0,40,23,63,0,2
344,0,1,0,0,51,54,63,0,1
345,0,1,0,0,55,49,56,42,1
346,0,0,0,0,82,57,91,50,1
347,-1,0,0,0,67,33,82,47,1
348,-1,0,0,0,89,38,83,55,0
349,1,1,0,0,43,39,45,48,2
350,-1,0,0,0,53,67,38,67,0
351,-1,0,0,0,38,35,0,51,0
352,1,1,0,0,57,42,65,43,2
353,-1,0,0,0,27,42,0,58,1
354,-1,0,0,0,56,50,65,63,1
355,0,2,0,0,81,88,91,83,1
356,-1,0,0,0,33,53,47,65,0
357,1,1,0,1,66,80,67,91,1
358,-1,0,0,0,42,85,43,83,1
359,0,2,0,0,54,53,50,38,2
360,0,2,0,0,36,67,48,82,2
361,-1,0,0,0,42,47,58,63,0
362,0,0,0,0,54,24,0,0,0
363,3,1,0,0,35,55,55,56,2
364,-1,0,0,0,35,40,51,45,0
365,2,1,0,0,46,38,42,0,2
366,0,2,0,0,51,42,0,58,2
367,1,1,0,0,63,36,67,48,2
368,1,0,0,0,79,54,91,56,1
369,1,1,0,0,54,82,50,83,0
370,0,2,0,0,44,33,63,47,2
371,0,0,0,0,42,43,43,42,0
372,-1,0,0,0,40,50,45,65,0
373,2,1,0,0,50,67,38,82,2
374,1,1,0,0,35,24,0,0,2
375,-1,0,0,0,35,32,51,55,0
376,0,2,0,0,41,78,58,91,1
377,0,2,0,0,42,49,42,38,1
378,1,1,0,0,49,62,65,67,1
379,0,2,0,0,54,48,56,0,0
380,0,2,0,0,32,34,47,0,1
381,3,1,0,0,0,0,85,57,2
382,0,2,0,0,0,0,60,55,2
383,0,0,0,0,0,0,87,43,1
384,1,1,0,0,0,0,83,0,2
385,3,1,0,0,0,0,37,0,2
386,0,0,0,0,0,0,65,58,0
387,0,0,0,0,0,0,0,36,2
388,0,2,0,0,0,0,42,46,2
389,2,1,0,0,0,0,49,40,2
390,0,0,0,0,0,0,39,76,0
391,0,1,0,0,3,3,58,0,1
392,0,0,0,0,3,3,76,42,2
393,0,0,0,0,1,3,43,37,1
394,1,1,0,0,0,3,0,60,2
395,0,0,0,0,0,0,46,39,0
396,0,0,0,0,0,0,0,65,0
397,1,1,0,0,0,3,36,83,2
398,-1,0,0,0,0,3,40,85,0
399,0,2,0,1,0,3,55,49,2
400,-1,0,0,0,0,1,57,87,0
401,0,2,0,0,3,0,37,0,1
402,-2,0,0,0,3,0,65,57,0
403,-2,0,0,0,4,0,0,40,0
404,1,1,0,1,3,3,42,0,2
405,1,1,0,0,3,4,49,58,2
406,2,1,0,0,3,4,83,43,2
407,0,1,0,0,6,0,85,46,1
408,-1,0,0,0,3,3,39,55,0
409,0,2,0,0,3,6,60,76,1
410,0,1,0,0,1,6,0,49,2
411,-1,0,0,0,3,3,40,39,1
412,0,1,0,0,6,7,55,85,0
413,0,0,0,0,7,4,76,87,2
414,-2,0,0,0,4,6,58,83,0
415,2,1,0,0,3,4,36,37,2
416,-1,0,0,0,4,4,43,0,0
417,-1,0,0,0,3,6,57,42,2
418,-1,0,0,0,1,4,46,60,0
419,-1,0,0,0,3,3,0,65,0
420,0,0,0,0,4,6,39,42,2
421,0,2,0,0,4,6,58,36,2
422,0,2,0,0,10,3,76,0,1
423,2,1,0,0,6,4,49,43,2
424,-1,1,0,0,4,9,37,83,0
425,-1,0,0,0,4,7,0,60,0
426,-1,0,0,0,10,4,85,87,1
427,-2,0,1,0,6,9,36,49,0
428,0,2,0,0,5,4,87,37,2
429,0,0,0,0,6,4,42,0,0
430,1,1,0,0,6,2,57,46,2
431,1,1,0,0,5,9,40,55,2
432,0,0,0,0,7,11,65,76,0
433,1,0,0,0,10,7,60,39,2
434,0,2,0,0,7,12,39,83,1
435,-2,0,0,0,12,4,49,37,0
436,2,1,0,0,14,13,85,60,2
437,2,1,0,0,9,14,55,76,0
438,1,1,0,0,9,4,57,0,2
439,-1,0,0,0,2,11,46,0,0
440,1,1,0,0,7,4,65,43,1
441,-1,0,0,0,13,8,83,65,2
442,0,2,0,0,13,12,60,57,1
443,0,0,1,0,5,9,43,55,1
444,0,2,0,0,14,12,0,49,2
445,0,1,0,1,4,2,0,46,2
446,-1,0,0,0,9,17,42,85,0
447,-1,0,0,0,8,14,65,87,1
448,0,1,0,0,9,6,39,43,2
449,0,0,0,0,10,17,0,0,0
450,0,0,0,0,11,9,58,42,1
451,-1,0,0,0,20,20,85,76,0
452,1,1,0,0,10,7,55,0,2
453,2,1,0,0,6,10,43,0,2
454,0,0,0,0,17,12,60,58,2
455,1,1,0,0,8,8,36,40,2
456,-1,0,0,0,20,20,0,85,0
457,0,2,0,0,7,12,0,39,2
458,0,0,0,0,19,5,83,46,1
459,0,0,0,0,8,9,37,65,0
460,0,2,0,0,23,14,76,57,2
461,2,1,0,0,15,12,87,49,2
462,0,2,0,0,10,13,42,55,2
463,-1,0,0,0,13,12,42,49,1
464,-1,0,0,0,14,8,57,40,0
465,1,1,0,0,10,20,0,83,2
466,-1,0,0,1,10,12,0,58,1
467,-1,0,0,0,6,26,46,76,2
468,0,2,0,0,9,20,43,60,2
469,0,2,0,0,8,13,37,55,2
470,0,2,0,0,12,11,65,36,2
471,3,1,0,0,23,12,85,39,2
472,2,1,0,0,18,20,87,0,2
473,1,1,0,0,20,21,83,87,2
474,0,2,0,0,11,13,40,0,1
475,0,0,0,0,20,11,0,37,0
476,1,1,0,0,12,14,39,57,0
477,0,2,0,0,13,15,49,65,0
478,2,1,0,0,26,11,76,0,2
479,-1,0,0,0,13,26,58,85,0
480,0,0,0,0,20,14,60,42,0
481,0,1,1,1,13,9,55,46,0
482,1,1,0,0,11,12,36,43,2
483,1,1,0,0,14,12,36,46,2
484,2,1,0,0,21,14,87,0,2
485,-1,0,0,0,12,12,43,40,1
486,0,2,0,0,13,17,49,57,1
487,-3,0,0,0,11,29,0,85,0
488,-1,0,0,0,18,17,65,42,1
489,-1,1,0,0,20,13,0,55,1
490,-1,0,0,0,14,29,37,76,0
491,-1,0,0,0,23,20,83,60,0
492,1,1,0,0,13,12,58,39,0
493,1,1,0,0,14,23,55,83,2
494,-2,0,0,0,18,14,42,37,0
495,0,2,0,0,13,19,40,65,2
496,1,1,0,1,12,13,46,58,2
497,-1,0,0,0,15,14,39,49,0
498,0,2,0,0,32,13,85,43,1
